code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
ML7425B6007T,TR LLA 600N 24VAC 0-10V SR-RET 108S 20MM,Genel,Honeywell,ML7425B6007T,adet,USDTRY,1050.00,0,0,20,,TR LLA 600N 24VAC 0-10V SR-RET 108S 20MM,Grup: Field Devices | Menşei: HU | Durum: Active,true
ML7430E1005,EL.ACTUATOR 400 N,Actuators,Honeywell,ML7430E1005,adet,USDTRY,441.76,0,0,20,,EL.ACTUATOR 400 N,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7435E1004,EL.ACTUATOR 400N,Actuators,Honeywell,ML7435E1004,adet,USDTRY,550.00,0,0,20,,EL.ACTUATOR 400N,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML8824A0620,"Linear act. 600N, 20mm",Actuators,Honeywell,ML8824A0620,adet,USDTRY,355.00,0,0,20,,"Linear act. 600N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML8824A0620-BV,"VPIC Actuator, 600N, 20mm",Actuators,Honeywell,ML8824A0620-BV,adet,USDTRY,361.91,0,0,20,,"VPIC Actuator, 600N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML8824A1820,"Linear act. 1800N, 20mm",Actuators,Honeywell,ML8824A1820,adet,USDTRY,740.00,0,0,20,,"Linear act. 1800N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML8824A1840,"Linear act. 1800N, 40mm",Actuators,Honeywell,ML8824A1840,adet,USDTRY,770.00,0,0,20,,"Linear act. 1800N, 40mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
MLE71MAA,VPI PICV ACT 2-10VDC DN15-32 FAILSAFE,Actuators,Honeywell,MLE71MAA,adet,USDTRY,300.00,0,0,20,,VPI PICV ACT 2-10VDC DN15-32 FAILSAFE,Grup: Field Devices | Alt kategori: PICV Actuators | Menşei: DE | Durum: Active,true
MLE75MAB,VPI PICV ACT 2-10VDC DN40-50 FAILSAFE,Actuators,Honeywell,MLE75MAB,adet,USDTRY,405.00,0,0,20,,VPI PICV ACT 2-10VDC DN40-50 FAILSAFE,Grup: Field Devices | Alt kategori: PICV Actuators | Menşei: DE | Durum: Active,true
MLP41MNA,VPI PICV ACT 3WIRE 2POS DN15-32,Actuators,Honeywell,MLP41MNA,adet,USDTRY,216.73,0,0,20,,VPI PICV ACT 3WIRE 2POS DN15-32,Grup: Field Devices | Alt kategori: PICV Actuators | Menşei: DE | Durum: Active,true
